HS001-Cao Thái Bảo-01/01/2017-01, Nguyễn Văn Trỗi, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A1
HS002-Lê Thị Minh-15/05/2017-02, Trần Văn Hóa, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A1
HS003-Phạm Văn Khánh-20/09/2017-03, Hoàng Thị Thu, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A1
HS004-Nguyễn Thị Quỳnh-03/11/2017-04, Vũ Minh Khôi, Phường 9, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A1
HS005-Trần Văn Toàn-12/12/2017-05, Đặng Thị Hoa, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A2
HS006-Lê Thị Hằng-09/08/2017-06, Phan Văn Thành, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A2
HS007-Đỗ Thị Hương-28/02/2017-07, Lê Minh Tâm, Phường 10, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A2
HS008-Nguyễn Văn Hiếu-14/06/2017-08, Lâm Thị Mai, Phường 4, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A2
HS009-Trần Thị Lan-19/03/2017-09, Nguyễn Văn Nam, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A3
HS010-Hoàng Văn Hùng-10/10/2017-10, Phạm Thị Phương, Phường 8, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A3
HS011-Lê Thị Thảo-04/07/2017-11, Trịnh Thị Anh, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A3
HS012-Phạm Văn Tuấn-27/11/2017-12, Võ Thị Hương, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh-1A3
HS013-Nguyễn Thị Tuyết-08/09/2016-13, Bùi Văn Thắng, Phường 9, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A1
HS014-Trần Văn Tuân-21/01/2016-14, Lê Thị Ngọc, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A1
HS015-Đặng Thị Mai-30/04/2016-15, Phan Minh Tuấn, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A1
HS016-Nguyễn Văn An-05/03/2016-16, Trần Thị Hòa, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A1
HS017-Lê Thị Thu-18/12/2016-17, Hoàng Minh Thanh, Phường 10, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A2
HS018-Hoàng Thị Hạnh-23/08/2016-18, Đỗ Văn Đông, Phường 4, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A2
HS019-Trịnh Văn Hòa-02/10/2016-19, Phạm Thị Loan, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A2
HS020-Nguyễn Thị Thu Hà-16/06/2016-20, Vũ Minh Hòa, Phường 8, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A2
HS021-Võ Thị Hoàng-14/05/2016-21, Trần Văn Đức, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A3
HS022-Lâm Văn Hưng-09/01/2016-22, Bùi Thị Thảo, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A3
HS023-Huỳnh Thị Thanh-20/03/2016-23, Nguyễn Văn Phúc, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A3
HS024-Nguyễn Thị Thùy-07/07/2016-24, Võ Văn Hùng, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh-2A3
HS025-Trần Văn Hoàng-12/12/2015-25, Lê Thị Lý, Phường 9, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A1
HS026-Phạm Thị Ngọc-25/09/2015-26, Trương Văn Long, Phường 4, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A1
HS027-Nguyễn Thị Hà-19/10/2015-27, Lâm Văn Tài, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A1
HS028-Lê Văn Đức-11/08/2015-28, Nguyễn Thị Ngọc, Phường 6, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A1
HS029-Hoàng Thị Hằng-04/04/2015-29, Phạm Văn Khoa, Phường 7, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A2
HS030-Trịnh Văn Đông-08/06/2015-30, Vũ Văn Thành, Phường 8, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A2
HS031-Đặng Thị Hương-17/02/2015-31, Lê Văn Bình, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A2
HS032-Nguyễn Thị Lan-29/12/2015-32, Phan Văn Hưng, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A2
HS033-Hoàng Văn Khánh-13/07/2015-33, Võ Thị Hoàng, Phường 3, Quận Bình Thạnh, Thành phố Hồ Chí Minh-3A3
