HS001-Nguyen Van Linh-01/01/1976-01, Nguyen Van Troi, Phuong 5, Quan 1, Thanh pho Ho Chi Minh-0832156378-male
HS002-Le Thi Hai-15/05/1978-02, Tran Van Hoa, Phuong 2, Quan 1, Thanh pho Ho Chi Minh-0832156379-female
HS003-Pham Thi Phuong-20/09/1977-03, Hoang Thi Thu, Phuong 7, Quan 3, Thanh pho Ho Chi Minh-0832156380-female
HS004-Nguyen Van Dong-03/11/1974-04, Vu Minh Khoi, Phuong 9, Quan 5, Thanh pho Ho Chi Minh-0832156381-male
HS005-Tran Thi Ha-12/12/1976-05, Dang Thi Hoa, Phuong 1, Quan 4, Thanh pho Ho Chi Minh-0832156382-female
HS006-Le Thi Mai-09/08/1979-06, Phan Van Thanh, Phuong 3, Quan 11, Thanh pho Ho Chi Minh-0832156383-male
HS007-Do Van Hung-28/02/1975-07, Le Minh Tam, Phuong 10, Quan 10, Thanh pho Ho Chi Minh-0832156384-male
HS008-Nguyen Van Hoa-14/06/1974-08, Lam Thi Mai, Phuong 4, Quan 7, Thanh pho Ho Chi Minh-0832156385-male
HS009-Tran Thi Hoa-19/03/1975-09, Nguyen Van Nam, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh-0832156386-female
HS010-Hoang Thi Hoa-10/10/1977-10, Pham Thi Phuong, Phuong 8, Quan Phu Nhuan, Thanh pho Ho Chi Minh-0832156387-female
HS011-Le Minh Tuan-04/07/1974-11, Trinh Thi Anh, Phuong 2, Quan 1, Thanh pho Ho Chi Minh-0832156388-male
HS012-Phan Van Thang-27/11/1976-12, Vo Thi Huong, Phuong 11, Quan Tan Phu, Thanh pho Ho Chi Minh-0832156389-male
HS013-Bui Thi Loan-08/09/1977-13, Bui Van Thang, Phuong 9, Quan 4, Thanh pho Ho Chi Minh-0832156390-female
HS014-Le Thi Ngoc-21/01/1976-14, Le Thi Ngoc, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh-0832156391-female
