Pupil Management List:
ID   	Fullname            	Sex   	BirthDate 	Address                                                                         	Class
HS001	Cao Thai Bao        	male  	01/01/2017	01, Duong Nguyen Van Troi, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh     	1A1
HS002	Le Thi Minh         	female	15/05/2017	02, Duong Tran Van Hoa, Phuong 2, Quan Binh Thanh, Thanh pho Ho Chi Minh        	1A1
HS003	Pham Van Khanh      	male  	20/09/2017	03, Duong Hoang Thi Thu, Phuong 7, Quan Binh Thanh, Thanh pho Ho Chi Minh       	1A1
HS004	Nguyen Thi Quynh    	female	03/11/2017	04, Duong Vu Minh Khoi, Phuong 9, Quan Binh Thanh, Thanh pho Ho Chi Minh        	1A1
HS005	Tran Van Toan       	male  	12/12/2017	05, Duong Dang Thi Hoa, Phuong 1, Quan Binh Thanh, Thanh pho Ho Chi Minh        	1A2
HS006	Le Thi Hang         	female	09/08/2017	06, Duong Phan Van Thanh, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh      	1A2
HS007	Do Thi Huong        	female	28/02/2017	07, Duong Le Minh Tam, Phuong 10, Quan Binh Thanh, Thanh pho Ho Chi Minh        	1A2
HS008	Nguyen Van Hieu     	male  	14/06/2017	08, Duong Lam Thi Mai, Phuong 4, Quan Binh Thanh, Thanh pho Ho Chi Minh         	1A2
HS009	Tran Thi Lan        	female	19/03/2017	09, Duong Nguyen Van Nam, Phuong 6, Quan Binh Thanh, Thanh pho Ho Chi Minh      	1A3
HS010	Hoang Van Hung      	male  	10/10/2017	10, Duong Pham Thi Phuong, Phuong 8, Quan Binh Thanh, Thanh pho Ho Chi Minh     	1A3
HS011	Le Thi Thao         	female	04/07/2017	11, Duong Trinh Thi Anh, Phuong 2, Quan Binh Thanh, Thanh pho Ho Chi Minh       	1A3
HS012	Pham Van Tuan       	male  	27/11/2017	12, Duong Vo Thi Huong, Phuong 11, Quan Binh Thanh, Thanh pho Ho Chi Minh       	1A3
HS013	Nguyen Thi Tuyet    	female	08/09/2016	13, Duong Bui Van Thang, Phuong 9, Quan Binh Thanh, Thanh pho Ho Chi Minh       	2A1
HS014	Tran Van Tuan       	male  	21/01/2016	14, Duong Le Thi Ngoc, Phuong 5, Quan Binh Thanh, Thanh pho Ho Chi Minh         	2A1
HS015	Dang Thi Mai        	female	30/04/2016	15, Duong Phan Minh Tuan, Phuong 7, Quan Binh Thanh, Thanh pho Ho Chi Minh      	2A1
HS016	Nguyen Van An       	male  	05/03/2016	16, Duong Tran Thi Hoa, Phuong 3, Quan Binh Thanh, Thanh pho Ho Chi Minh        	2A1
HS017	Le Thi Thu          	female	18/12/2016	17, Duong Hoang Minh Thanh, Phuong 10, Quan Binh Thanh, Thanh pho Ho Chi Minh   	2A2
